aID,name,birthDate,deathDate,commission,street,city,stateAb,zipcode
1,Abed Abdi,2000-01-01,NULL,10,309 Hcounty Road,Abbott,TX,76621-0057
2,Ismail Gulg,1990-01-03,NULL,11,405 E Mesquite Street,Abbott,TX,76621-0057
3,Shakir Ali,1995-02-04,NULL,12,5000 Spectrum Street,Addison,TX,75001-6880
4,Abdur Rahman,1970-02-05,NULL,10,1000 County Road,Bradley,Ok,73011-0121
5,Kalipada Ghoshal,1994-01-01,NULL,10,Boundary Road,Bradley,OK,73011-9600
6,Manishi Dey,1994-07-15,NULL,11,450 Main Street,Mound City,KS,66056-0001
7,Nandalal Bose,1980-01-09,NULL,15,S Metcalf Road,Louisburg,KS,66053-0541
8,Raja Ravi Varma,1970-09-19,NULL,12,2000 Forest Grove blvd,Allen,TX,75002-8811
9,Sunil Das,1985-08-01,NULL,10,4000 Woodcreek Road,Carrollton,TX,75006-1911
10,Jasper Johns,1970-01-02,NULL,12,2500 Sunset Ridge Drive,Rockwall,TX,75032-0006
11,Winslow Homer,1990-02-09,NULL,11,11300 Juniper Lane,Irving,TX,75039-0101
12,Albert Bierstadt,1999-09-10,NULL,10,400 Spruce Street,Leavenworth,KS,66048-0001
13,Edward Hopper,2000-01-20,NULL,11,1500 255th Street,Hillsdale,KS,66036-0061
14,Georgia O'Keeffe,1997-11-05,NULL,11,3000 Weiss Lane,Irving,TX,75039-0006
15,Modupeola Fadugba,2001-08-05,NULL,11,1112 18TH Street,Plano,TX,75086-0019
16,Ekene Maduka,1990-02-09,NULL,12,15TH Street,Plano,TX,75086-0015
17,Olu Amoda,1994-07-15,NULL,14,200 Travis Street,Sherman,TX,75090-0005
18,Koki Tanaka,1994-07-15,NULL,12,5000 W Holiday Road,Fate,TX,75087-2136
19,Tatsuo Miyajima,1999-07-07,NULL,11,Bella Ranch Drive,Choctaw,OK,73020-0017
20,Li Chen,2000-01-20,NULL,12,2090 County Road,Cement,OK,73017-1100
21,Zhan Wang,1999-03-03,NULL,12,1600 N Santa Fe,Edmond,OK,73003-3661
